species,web_local,mode
Cardiopharynx_schoutedeni,web=GCA_015109795.1
Carettochelys_insculpta,web=GCA_007922185.1
Cariama_cristata,web=GCA_000690535.1
Carlito_syrichta,web=GCA_000164805.2
Carollia_perspicillata,web=GCA_004027735.1
Castor_canadensis,web=GCA_001984765.1
Casuarius_casuarius,web=GCA_003342895.1
Catagonus_wagneri,web=GCA_004024745.2
Cathartes_aura,web=GCA_000699945.1
Catharus_ustulatus,web=GCA_009819885.2
Cavia_tschudii,web=GCA_004027695.1
Cebidichthys_violaceus,web=GCA_008087265.1
Cebus_imitator,web=GCA_001604975.1
Centrocercus_minimus,web=GCA_005890655.1
Centropus_unirufus,web=GCA_013397695.1
Cephalophus_harveyi,web=GCA_006410635.1
Cephalopterus_ornatus,web=GCA_013396775.1
Cepphus_grylle,web=GCA_013401065.1
Ceratotherium_simum_simum,web=GCA_000283155.1
Cercocebus_atys,web=GCA_000955945.1
Cercopithecus_neglectus,web=GCA_004027615.1
Cercotrichas_coryphoeus,web=GCA_013398595.1
Certhia_familiaris,web=GCA_013398575.1
Cervus_hanglu_yarkandensis,web=GCA_010411085.1
Cettia_cetti,web=GCA_013401135.1
Ceuthmochares_aereus,web=GCA_013398935.1
Ceyx_cyanopectus,web=GCA_013401355.1
Chaenocephalus_aceratus,web=GCA_900302675.1
Chaenogobius_annularis,web=GCA_015082035.1
Chaetophractus_vellerosus,web=GCA_004027955.1
Chaetops_frenatus,web=GCA_013400775.1
Chaetorhynchus_papuensis,web=GCA_013396525.1
Chaetura_pelagica,web=GCA_000747805.1
Chalinochromis_popelini,web=GCA_015103555.1
Channa_argus,web=GCA_004786185.1
Chanos_chanos,web=GCA_902362185.1
Charadrius_vociferus,web=GCA_000708025.2
Chascanopsetta_lugubris,web=GCA_016785325.1
Chatrabus_melanurus,web=GCA_900302635.1
Chauna_torquata,web=GCA_013399475.1
Cheirogaleus_medius,web=GCA_008086735.1
Chelmon_rostratus,web=GCA_017976325.1
Chelonia_mydas,web=GCA_015237465.2
Chelonoidis_abingdonii,web=GCA_003597395.1
Chelydra_serpentina,web=GCA_007922165.1
Chiloscyllium_punctatum,web=GCA_003427335.1
Chinchilla_lanigera,web=GCA_000276665.1
Chionis_minor,web=GCA_013398295.1
Chionodraco_myersi,web=GCA_009756435.1
Chiroxiphia_lanceolata,web=GCA_009829145.1
Chlamydotis_macqueenii,web=GCA_000695195.1
Chloebia_gouldiae,web=GCA_003676055.1
Chlorocebus_sabaeus,web=GCA_015252025.1
Chloroceryle_aenea,web=GCA_013399075.1
Chlorodrepanis_virens,web=GCA_003286495.1
Chloropsis_hardwickii,web=GCA_013390065.1
Choloepus_didactylus,web=GCA_015220235.1
Chordeiles_acutipennis,web=GCA_013399635.1
Chroicocephalus_maculipennis,web=GCA_013397655.1
Chromis_chromis,web=GCA_900302755.1
Chrysemys_picta,web=GCA_011386835.1
Chrysochloris_asiatica,web=GCA_000296735.1
Chrysolophus_pictus,web=GCA_003413605.1
Chunga_burmeisteri,web=GCA_013396505.1
Ciccaba_nigrolineata,web=GCA_013396715.1
Cicinnurus_regius,web=GCA_003713305.1
Ciconia_maguari,web=GCA_017639555.1
Cinclus_mexicanus,web=GCA_013399935.1
Circaetus_pectoralis,web=GCA_013399555.1
Cirrhinus_molitorella,web=GCA_004028445.1
Cisticola_juncidis,web=GCA_013400215.1
Clarias_magur,web=GCA_013621035.1
Climacteris_rufus,web=GCA_013398175.1
Clupea_harengus,web=GCA_900700415.2
Cnemophilus_loriae,web=GCA_013397755.1
Cochlearius_cochlearius,web=GCA_013396365.1
Coilia_nasus,web=GCA_007927625.1
Colaptes_auratus,web=GCA_015227895.1
Colinus_virginianus,web=GCA_008692595.2
Colistium_nudipinnis,web=GCA_016785305.1
Colius_striatus,web=GCA_000690715.1
Collichthys_lucidus,web=GCA_004119915.2
Colobus_angolensis_palliatus,web=GCA_000951035.1
Coloeus_monedula,web=GCA_013407035.1
Colossoma_macropomum,web=GCA_904425465.1
Columba_livia,web=GCA_000337935.2
Columbina_picui,web=GCA_013397635.1
Condylura_cristata,web=GCA_000260355.1
Connochaetes_taurinus,web=GCA_006408615.1
Copsychus_sechellarum,web=GCA_013398635.1
Coptodon_rendalli,web=GCA_015108555.1
Corapipo_altera,web=GCA_003945725.1
Coregonus_lavaretus,web=GCA_905477555.1
Coreoperca_whiteheadi,web=GCA_011952105.1
Corvus_moneduloides,web=GCA_009650955.1
Coryphaenoides_rupestris,web=GCA_002895965.2
Corythaeola_cristata,web=GCA_013396815.1
Corythaixoides_concolor,web=GCA_013399495.1
Cottoperca_gobio,web=GCA_900634415.1
Cottus_rhenanus,web=GCA_001455555.1
Coturnix_japonica,web=GCA_001577835.2
Craseonycteris_thonglongyai,web=GCA_004027555.1
Cricetomys_gambianus,web=GCA_004027575.1
